date;steps;distance;runDistance;calories
2019-12-16;7568;5233;473;190
2019-12-17;6762;4670;450;166
2019-12-18;5785;3976;577;140
2019-12-19;6306;4330;363;158
2019-12-20;12359;8863;685;305
2019-12-21;6058;4112;262;132
2019-12-22;4233;3019;164;102
2019-12-23;9299;7111;201;250
2019-12-24;8360;6026;346;219
2019-12-25;22375;15741;586;507
2019-12-26;22007;15399;477;482
2019-12-27;12007;8552;569;276
2019-12-28;14071;10551;584;392
2019-12-29;14729;10793;325;372
2019-12-30;12121;8403;284;264
2019-12-31;7457;5132;698;190
2020-01-01;7120;4952;477;172
2020-01-02;9568;6964;410;260
2020-01-03;7102;4975;442;168
2020-01-04;11894;9192;398;343
2020-01-05;6496;4664;254;153
2020-01-06;4393;3161;173;107
2020-01-07;10485;8086;194;274
2020-01-08;5115;3975;141;154
2020-01-09;6867;5116;279;176
2020-01-10;5305;4017;220;144
2020-01-11;4652;3239;374;118
2020-01-12;6435;4889;188;166
2020-01-13;5922;4453;242;163
2020-01-14;9289;7283;160;258
2020-01-15;6334;5182;156;211
2020-01-16;6444;5188;170;207
2020-01-17;4808;3461;304;125
2020-01-18;7578;5597;613;211
2020-01-19;7012;4752;326;149
2020-01-20;7247;5958;158;238
2020-01-21;6052;4635;152;156
2020-01-22;5697;4393;186;154
2020-01-23;6380;5027;231;188
2020-01-24;5563;4297;211;161
2020-01-25;8151;5521;265;171
2020-01-26;2865;1990;162;66
2020-01-27;13117;9771;227;319
2020-01-28;6582;4570;449;158
2020-01-29;3028;2056;321;78
2020-01-30;3154;2129;165;70
2020-01-31;15622;11854;355;398
2020-02-01;6812;4810;298;167
2020-02-02;10044;7258;527;253
2020-02-03;8391;5848;427;198
2020-02-04;11719;8780;351;305
2020-02-05;4568;3154;414;108
2020-02-06;9384;6887;604;244
2020-02-07;12197;8887;656;305
2020-02-08;4049;2864;365;100
2020-02-09;5832;4141;234;137
2020-02-10;5809;4065;606;143
2020-02-11;3546;2397;458;84
2020-02-12;12884;9241;440;318
2020-02-13;9229;6809;416;239
2020-02-14;9280;6974;205;243
2020-02-15;9912;7867;46;289
2020-02-16;5562;4062;394;154
2020-02-17;5902;4177;221;146
2020-02-18;10486;7481;380;252
2020-02-19;8460;5861;588;194
2020-02-20;9584;6463;725;220
2020-02-21;11280;7782;721;258
2020-02-22;13611;9391;498;298
2020-02-23;3652;2459;344;89
2020-02-24;4802;3294;319;104
2020-02-25;5324;3793;392;131
2020-02-26;7577;5122;816;167
2020-02-27;11318;8049;604;267
2020-02-28;4784;3345;328;113
2020-02-29;3533;2377;271;76
2020-03-01;9261;6307;533;200
2020-03-02;5115;3447;568;123
2020-03-03;7710;5774;248;197
2020-03-04;4628;3344;271;127
2020-03-05;3927;2886;192;105
2020-03-06;4750;3620;179;145
2020-03-07;3291;2230;332;77
2020-03-08;15395;10989;472;367
2020-03-09;10363;7490;444;261
2020-03-10;3843;2617;296;98
2020-03-11;3763;2533;477;92
2020-03-12;14632;11133;404;379
2020-03-13;13045;9726;422;323
2020-03-14;2564;1725;258;53
2020-03-15;18416;13856;632;462
2020-03-16;6372;4572;385;157
2020-03-17;2692;1811;205;63
2020-03-18;2767;1871;182;63
2020-03-19;5676;3830;283;128
2020-03-20;6113;4349;401;148
2020-03-21;5114;3447;553;119
2020-03-22;6249;4426;454;156
2020-03-23;4142;2815;233;91
2020-03-24;4995;3387;466;117
2020-03-25;6426;4337;416;141
2020-03-26;7834;5355;575;176
2020-03-27;7758;5511;350;177
2020-03-28;7927;5336;354;169
2020-03-29;13699;9261;330;284
2020-03-30;7467;5609;195;190
2020-03-31;7110;4804;441;155
2020-04-01;3527;2386;388;80
2020-04-02;4545;3098;351;102
2020-04-03;7966;6007;215;200
2020-04-04;7910;5345;458;172
2020-04-05;15983;11510;454;365
2020-04-06;4806;3255;406;104
2020-04-07;2558;1732;264;56
2020-04-08;5589;3761;287;123
2020-04-09;3285;2216;266;76
2020-04-10;9340;6986;262;229
2020-04-11;6375;4297;653;137
2020-04-12;10033;7352;317;236
2020-04-13;4581;3398;278;115
2020-04-14;4720;3465;224;113
2020-04-15;3262;2232;293;76
2020-04-16;7907;5384;584;172
2020-04-17;5608;4091;318;146
2020-04-18;8658;5919;408;196
2020-04-19;4030;2787;316;92
2020-04-20;2858;1925;299;66
2020-04-21;4900;3508;343;126
2020-04-22;5222;3577;304;117
2020-04-23;4521;3328;203;113
2020-04-24;6967;4704;550;146
2020-04-25;4623;3121;177;99
2020-04-26;5019;3377;414;108
2020-04-27;3667;2492;260;84
2020-04-28;3374;2270;268;77
2020-04-29;2495;1679;203;55
2020-04-30;11966;8953;322;299
2020-05-01;3491;2349;290;75
2020-05-02;10119;6843;597;214
2020-05-03;4501;3044;287;94
2020-05-04;2745;1849;261;58
2020-05-05;7081;4894;383;164
2020-05-06;5428;3662;408;118
2020-05-07;9131;6687;542;220
2020-05-08;6496;4491;416;148
2020-05-09;5047;3410;253;112
2020-05-10;7781;5879;333;212
2020-05-11;9488;6674;571;217
2020-05-12;4146;2802;340;86
2020-05-13;5485;3695;363;114
2020-05-14;6615;4495;602;144
2020-05-15;9036;6622;521;226
2020-05-16;8452;5687;511;178
2020-05-17;5785;3901;328;125
2020-05-18;4613;3133;401;106
2020-05-19;11058;8074;383;260
2020-05-20;5161;3479;433;115
